	KTOPL	KSTAR	KSTSN	FUNC_AREA
	CACH	98502	98502
	CACH	98504	98504
	CACH	98505	98505
	CACH	98506	98506
	CACH	98507	98507
	CACH	98550	98550
	CACH	98560	98560
	CACH	98570	98570
	CACH	98580	98580
	CACH	98600	98600
	CACH	98601	98601
	CACH	98602	98602
	CACH	98603	98603
	CACH	98700	98700
	CACH	98701	98701
	CACH	98800	98800
	CACN	2000100	02000100
	CACN	2000200	02000200
	CACN	2000300	02000300
	CACN	2021100	02021100
	CACN	41010100	41010100
	CACN	41010200	41010200
	CACN	41010300	41010300
	CACN	41010400	41010400
	CACN	41010500	41010500
	CACN	42010000	42010000
	CACN	51210000	51210000
	CACN	51210010	51210010
	CACN	51210020	51210020
	CACN	51210030	51210030
	CACN	51211010	51211010
	CACN	51211020	51211020
	CACN	51310000	51310000
	CACN	51310100	51310100
	CACN	51410100	51410100
	CACN	51410200	51410200
	CACN	51410300	51410300
	CACN	51410400	51410400
	CACN	51410500	51410500
	CACN	51410600	51410600
	CACN	51410700	51410700
	CACN	51410800	51410800
	CACN	51411100	51411100
	CACN	51411200	51411200
	CACN	51411300	51411300
	CACN	51411400	51411400
	CACN	51411500	51411500
	CACN	51510100	51510100
	CACN	51510200	51510200
	CACN	51510250	51510250
	CACN	51510260	51510260
	CACN	51510270	51510270
	CACN	51510300	51510300
	CACN	52010000	52010000
	CACN	52110000	52110000
	CACN	52410000	52410000
	CACN	55010100	55010100
	CACN	55010200	55010200
	CACN	55010300	55010300
	CACN	55010400	55010400
	CACN	55010500	55010500
	CACN	55010600	55010600
	CACN	55010700	55010700
	CACN	55010710	55010710
	CACN	55010720	55010720
	CACN	55010730	55010730
	CACN	55010740	55010740
	CACN	55010750	55010750
	CACN	56010100	56010100
	CACN	56010200	56010200
	CACN	56010300	56010300
	CACN	56010400	56010400
	CACN	56010500	56010500
	CACN	56010600	56010600
	CACN	56010700	56010700
	CACN	56010710	56010710
	CACN	56010800	56010800
	CACN	91091000	91091000
	CACN	91092000	91092000
	CACN	91093000	91093000
	CACN	91094000	91094000
	CACN	91095000	91095000
	CACN	91096000	91096000
	CACN	91099900	91099900
	CACO	51050300	51050300
	CACO	51050600	51050600
	CACO	51051200	51051200
	CACO	51051500	51051500
	CACO	51051800	51051800
	CACO	51052100	51052100
	CACO	51052400	51052400
	CACO	51052700	51052700
	CACO	51053000	51053000
	CACO	51053300	51053300
	CACO	51053600	51053600
	CACO	51053900	51053900
	CACO	51054200	51054200
	CACO	51054500	51054500
	CACO	51054800	51054800
	CACO	51055100	51055100
	CACO	51055400	51055400
	CACO	51055700	51055700
	CACO	51055800	51055800
	CACO	51055900	51055900
	CACO	51056000	51056000
	CACO	51056100	51056100
	CACO	51056200	51056200
	CACO	51056300	51056300
	CACO	51056600	51056600
	CACO	51056800	51056800
	CACO	51056900	51056900
	CACO	51057000	51057000
	CACO	51057200	51057200
	CACO	51057500	51057500
	CACO	51057800	51057800
	CACO	51058100	51058100
	CACO	51058400	51058400
	CACO	51059500	51059500
	CACO	51100500	51100500
	CACO	51101000	51101000
	CACO	51101500	51101500
	CACO	51102000	51102000
	CACO	51102500	51102500
	CACO	51103000	51103000
	CACO	51103500	51103500
	CACO	51109500	51109500
	CACO	51150500	51150500
	CACO	51151000	51151000
	CACO	51151500	51151500
	CACO	51152000	51152000
	CACO	51152500	51152500
	CACO	51153000	51153000
	CACO	51153500	51153500
	CACO	51154000	51154000
	CACO	51154500	51154500
	CACO	51155000	51155000
	CACO	51157000	51157000
	CACO	51159500	51159500
	CACO	51200500	51200500
	CACO	51201000	51201000
	CACO	51201500	51201500
	CACO	51202000	51202000
	CACO	51202500	51202500
	CACO	51203000	51203000
	CACO	51203500	51203500
	CACO	51204000	51204000
	CACO	51204500	51204500
	CACO	51205000	51205000
	CACO	51205500	51205500
	CACO	51206000	51206000
	CACO	51206500	51206500
	CACO	51207000	51207000
	CACO	51209500	51209500
	CACO	51250500	51250500
	CACO	51251000	51251000
	CACO	51300500	51300500
	CACO	51301000	51301000
	CACO	51301500	51301500
	CACO	51302000	51302000
	CACO	51302500	51302500
	CACO	51303000	51303000
	CACO	51303500	51303500
	CACO	51304000	51304000
	CACO	51304500	51304500
	CACO	51305000	51305000
	CACO	51305500	51305500
	CACO	51306000	51306000
	CACO	51306500	51306500
	CACO	51307000	51307000
	CACO	51307500	51307500
	CACO	51308000	51308000
	CACO	51308500	51308500
	CACO	51309500	51309500
	CACO	51350500	51350500
	CACO	51351000	51351000
	CACO	51351500	51351500
	CACO	51352000	51352000
	CACO	51352500	51352500
	CACO	51353000	51353000
	CACO	51353500	51353500
	CACO	51354000	51354000
	CACO	51354500	51354500
	CACO	51355000	51355000
	CACO	51355500	51355500
	CACO	51359500	51359500
	CACO	51400500	51400500
	CACO	51401000	51401000
	CACO	51401500	51401500
	CACO	51402000	51402000
	CACO	51402500	51402500
	CACO	51409500	51409500
	CACO	51450500	51450500
	CACO	51451000	51451000
	CACO	51451500	51451500
	CACO	51452000	51452000
	CACO	51452500	51452500
	CACO	51453000	51453000
	CACO	51453500	51453500
	CACO	51454000	51454000
	CACO	51454500	51454500
	CACO	51455000	51455000
	CACO	51455500	51455500
	CACO	51456000	51456000
	CACO	51456500	51456500
	CACO	51457000	51457000
	CACO	51500500	51500500
	CACO	51501000	51501000
	CACO	51501500	51501500
	CACO	51509500	51509500
	CACO	51550500	51550500
	CACO	51551000	51551000
	CACO	51551500	51551500
	CACO	51552000	51552000
	CACO	51552500	51552500
	CACO	51559500	51559500
	CACO	51600500	51600500
	CACO	51601000	51601000
	CACO	51601500	51601500
	CACO	51602000	51602000
	CACO	51602500	51602500
	CACO	51603000	51603000
	CACO	51603500	51603500
	CACO	51604000	51604000
	CACO	51604500	51604500
	CACO	51605000	51605000
	CACO	51605500	51605500
	CACO	51606000	51606000
	CACO	51650500	51650500
	CACO	51651000	51651000
	CACO	51651500	51651500
	CACO	51659500	51659500
	CACO	51950500	51950500
	CACO	51950501	51950501
	CACO	51951000	51951000
	CACO	51951500	51951500
	CACO	51952000	51952000
	CACO	51952500	51952500
	CACO	51953000	51953000
	CACO	51953500	51953500
	CACO	51954000	51954000
	CACO	51954500	51954500
	CACO	51955000	51955000
	CACO	51955500	51955500
	CACO	51956000	51956000
	CACO	51956500	51956500
	CACO	51957000	51957000
	CACO	51957500	51957500
	CACO	51959500	51959500
	CACO	71010100	71010100
	CACO	73014820	73014820
	CACO	73014890	73014890
	CACO	73016001	73016001
	CACO	73016002	73016002
	CACO	73016003	73016003
	CACO	73016004	73016004
	CACO	73016100	73016100
	CACO	73016101	73016101
	CACO	73016102	73016102
	CACO	73016103	73016103
	CACO	73016104	73016104
	CACO	73016112	73016112
	CACO	73016113	73016113
	CACO	73016114	73016114
	CACO	73016201	73016201
	CACO	73016202	73016202
	CACO	73016203	73016203
	CACO	73016204	73016204
	CACO	73016301	73016301
	CACO	73016302	73016302
	CACO	73016309	73016309
	CACO	73016410	73016410
	CACO	73016415	73016415
	CACO	73016450	73016450
	CACO	73016455	73016455
	CACO	73998900	73998900
	CACO	73998901	73998901
	CACO	73998902	73998902
	CACO	73998920	73998920
	CACO	73998931	73998931
	CACO	73998932	73998932
	CACO	73998942	73998942
	CACO	73998945	73998945
	CACO	73998950	73998950
	CACZ	21000	021000
	CACZ	31000	031000
	CACZ	501100	501100
	CACZ	501110	501110
	CACZ	501120	501120
	CACZ	501130	501130
	CACZ	501150	501150
	CACZ	501160	501160
	CACZ	501180	501180
	CACZ	501190	501190
	CACZ	501200	501200
	CACZ	501810	501810
	CACZ	501820	501820
	CACZ	501910	501910
	CACZ	501920	501920
	CACZ	501930	501930
	CACZ	501940	501940
	CACZ	501950	501950
	CACZ	501970	501970
	CACZ	501980	501980
	CACZ	501990	501990
	CACZ	502000	502000
	CACZ	503000	503000
	CACZ	504000	504000
	CACZ	504100	504100
	CACZ	504200	504200
	CACZ	511000	511000
	CACZ	512000	512000
	CACZ	513000	513000
	CACZ	518000	518000
	CACZ	518110	518110
	CACZ	521000	521000
	CACZ	525000	525000
	CACZ	531000	531000
	CACZ	532000	532000
	CACZ	538000	538000
	CACZ	541000	541000
	CACZ	542000	542000
	CACZ	543000	543000
	CACZ	544000	544000
	CACZ	545000	545000
	CACZ	546000	546000
	CACZ	549000	549000
	CACZ	551000	551000
	CACZ	552000	552000
	CACZ	554000	554000
	CACZ	561000	561000
	CACZ	562000	562000
	CACZ	563000	563000
	CACZ	564000	564000
	CACZ	566000	566000
	CACZ	567000	567000
	CACZ	568000	568000
	CACZ	581000	581000
	CACZ	582100	582100
	CACZ	582110	582110
	CACZ	582120	582120
	CACZ	582130	582130
	CACZ	582200	582200
	CACZ	584000	584000
	CACZ	601000	601000
	CACZ	602000	602000
	CACZ	604000	604000
	CACZ	612000	612000
	CACZ	612100	612100
	CACZ	613000	613000
	CACZ	622000	622000
	CACZ	623000	623000
	CACZ	624000	624000
	CACZ	664000	664000
	CACZ	665000	665000
	CACZ	811000	811000
	CACZ	813000	813000
	CACZ	814000	814000
	CACZ	815000	815000
	CACZ	816000	816000
	CACZ	817000	817000
	CACZ	818000	818000
	CACZ	819000	819000
	CACZ	820000	820000
	CACZ	821000	821000
	CACZ	823000	823000
	CACZ	825000	825000
	CACZ	826100	826100
	CACZ	826200	826200
	CACZ	826300	826300
	CACZ	826400	826400
	CACZ	830000	830000
	CACZ	831000	831000
	CACZ	831100	831100
	CACZ	831200	831200
	CACZ	831300	831300
	CACZ	831400	831400
	CACZ	831500	831500
	CACZ	832000	832000
	CACZ	833000	833000
	CACZ	834000	834000
	CACZ	835000	835000
	CACZ	836000	836000
	CACZ	837000	837000
	CACZ	840000	840000
	CACZ	841000	841000
	CACZ	841100	841100
	CACZ	841200	841200
	CACZ	841300	841300
	CACZ	841400	841400
	CACZ	841500	841500
	CACZ	841600	841600
	CACZ	848000	848000
	CACZ	848100	848100
	CACZ	848200	848200
	CACZ	848300	848300
	CACZ	848400	848400
	CACZ	849000	849000
	CACZ	849100	849100
	CACZ	849200	849200
	CACZ	849300	849300
	CACZ	849400	849400
	CACZ	849500	849500
	CACZ	849600	849600
	CACZ	849700	849700
	CACZ	849800	849800
	CACZ	849900	849900
	CACZ	849910	849910
	CACZ	850000	850000
	CACZ	851000	851000
	CACZ	852000	852000
	CACZ	852500	852500
	CACZ	853000	853000
	CACZ	855100	855100
	CACZ	855110	855110
	CACZ	855200	855200
	CACZ	855300	855300
	CACZ	855400	855400
	CACZ	856000	856000
	CACZ	871110	871110
	CACZ	871111	871111
	CACZ	871112	871112
	CACZ	871115	871115
	CACZ	871120	871120
	CACZ	871121	871121
	CACZ	871130	871130
	CACZ	871131	871131
	CACZ	871140	871140
	CACZ	871141	871141
	CACZ	872111	872111
	CACZ	872112	872112
	CACZ	872121	872121
	CACZ	872122	872122
	CACZ	872131	872131
	CACZ	872132	872132
	CACZ	872141	872141
	CACZ	872142	872142
	CACZ	872200	872200
	CACZ	872300	872300
	CACZ	873110	873110
	CACZ	873111	873111
	CACZ	873112	873112
	CACZ	873121	873121
	CACZ	873122	873122
	CACZ	873131	873131
	CACZ	873132	873132
	CACZ	873141	873141
	CACZ	873142	873142
	CACZ	873211	873211
	CACZ	873212	873212
	CACZ	873221	873221
	CACZ	873300	873300
	CACZ	874101	874101
	CACZ	874103	874103
	CACZ	874201	874201
	CACZ	874202	874202
	CACZ	874203	874203
	CACZ	875100	875100
	CACZ	875200	875200
	CACZ	875300	875300
	CACZ	875400	875400
	CACZ	875500	875500
	CACZ	890000	890000
	CACZ	891000	891000
	CACZ	892000	892000
	CACZ	893000	893000
	CACZ	894000	894000
	CACZ	898000	898000
	CACZ	898100	898100
	CACZ	898200	898200
	CAES	600000	600000
	CAES	600100	600100
	CAES	600700	600700
	CAES	601000	601000
	CAES	601100	601100
	CAES	602000	602000
	CAES	607000	607000
	CAES	608000	608000
	CAES	608100	608100
	CAES	608200	608200
	CAES	609000	609000
	CAES	609100	609100
	CAES	609200	609200
	CAES	609800	609800
	CAES	609900	609900
	CAES	610000	610000
	CAES	611000	611000
	CAES	612000	612000
	CAES	612500	612500
	CAES	612600	612600
	CAES	612700	612700
	CAES	620000	620000
	CAES	621000	621000
	CAES	622000	622000
	CAES	623000	623000
	CAES	624000	624000
	CAES	625000	625000
	CAES	626000	626000
	CAES	627000	627000
	CAES	628000	628000
	CAES	629000	629000
	CAES	629500	629500
	CAES	630000	630000
	CAES	631000	631000
	CAES	633000	633000
	CAES	634100	634100
	CAES	634200	634200
	CAES	636000	636000
	CAES	638000	638000
	CAES	639100	639100
	CAES	639200	639200
	CAES	640000	640000
	CAES	640510	640510
	CAES	640520	640520
	CAES	640530	640530
	CAES	640540	640540
	CAES	640550	640550
	CAES	640560	640560
	CAES	640570	640570
	CAES	640580	640580
	CAES	641000	641000
	CAES	642000	642000
	CAES	643000	643000
	CAES	647000	647000
	CAES	648000	648000
	CAES	649000	649000
	CAES	650000	650000
	CAES	651000	651000
	CAES	651100	651100
	CAES	659000	659000
	CAES	661000	661000
	CAES	661100	661100
	CAES	661300	661300
	CAES	661500	661500
	CAES	661600	661600
	CAES	661800	661800
	CAES	662000	662000
	CAES	662100	662100
	CAES	662200	662200
	CAES	662300	662300
	CAES	663000	663000
	CAES	663100	663100
	CAES	663200	663200
	CAES	663300	663300
	CAES	664000	664000
	CAES	664100	664100
	CAES	664300	664300
	CAES	665000	665000
	CAES	665100	665100
	CAES	665300	665300
	CAES	666000	666000
	CAES	666100	666100
	CAES	666300	666300
	CAES	666500	666500
	CAES	666600	666600
	CAES	666800	666800
	CAES	667000	667000
	CAES	667100	667100
	CAES	667300	667300
	CAES	667500	667500
	CAES	667600	667600
	CAES	667800	667800
	CAES	668000	668000
	CAES	668050	668050
	CAES	669000	669000
	CAES	670000	670000
	CAES	671000	671000
	CAES	672000	672000
	CAES	673000	673000
	CAES	674000	674000
	CAES	678000	678000
	CAES	678100	678100
	CAES	678200	678200
	CAES	678210	678210
	CAES	678300	678300
	CAES	678500	678500
	CAES	679000	679000
	CAES	680000	680000
	CAES	681000	681000
	CAES	682000	682000
	CAES	682050	682050
	CAES	690000	690000
	CAES	691000	691000
	CAES	692000	692000
	CAES	693000	693000
	CAES	694000	694000
	CAES	695000	695000
	CAES	696000	696000
	CAES	696100	696100
	CAES	696300	696300
	CAES	696500	696500
	CAES	696600	696600
	CAES	697000	697000
	CAES	697100	697100
	CAES	697300	697300
	CAES	698000	698000
	CAES	698100	698100
	CAES	698300	698300
	CAES	699000	699000
	CAES	699100	699100
